2013,5,13,20,54,0
Time,Allston North Bus Pos Seq Mag,Allston North Bus Pos Seq Ang,Allston South Bus Pos Seq Mag,Allston South Bus Pos Seq Ang,Alvey Dixonville Line Pos Seq Mag,Alvey Dixonville Line Pos Seq Ang,Alvey Marion Line Pos Seq Mag,Alvey Marion Line Pos Seq Ang,Big Eddy West Bus Pos Seq Mag,Big Eddy West Bus Pos Seq Ang,Big Eddy East Bus Pos Seq Mag,Big Eddy East Bus Pos Seq Ang,Captain Jack West Bus Pos Seq Mag,Captain Jack West Bus Pos Seq Ang,Captain Jack East Bus Pos Seq Mag,Captain Jack East Bus Pos Seq Ang,Central Ferry West Bus Pos Seq Mag,Central Ferry West Bus Pos Seq Ang,Central Ferry East Bus Pos Seq Mag,Central Ferry East Bus Pos Seq Ang,Custer North Bus Pos Seq Mag,Custer North Bus Pos Seq Ang,Custer South Bus Pos Seq Mag,Custer South Bus Pos Seq Ang,Echo Lake North Bus Pos Seq Mag,Echo Lake North Bus Pos Seq Ang,Echo Lake South Bus Pos Seq Mag,Echo Lake South Bus Pos Seq Ang,Garrison West Bus Pos Seq Mag,Garrison West Bus Pos Seq Ang,Garrison East Bus Pos Seq Mag,Garrison East Bus Pos Seq Ang,Grizzly North Bus Pos Seq Mag,Grizzly North Bus Pos Seq Ang,Grizzly South Bus Pos Seq Mag,Grizzly South Bus Pos Seq Ang,John Day West Bus Pos Seq Mag,John Day West Bus Pos Seq Ang,John Day East Bus Pos Seq Mag,John Day East Bus Pos Seq Ang,Keeler West Bus Pos Seq Mag,Keeler West Bus Pos Seq Ang,Keeler Allston Line Pos Seq Mag,Keeler Allston Line Pos Seq Ang,Malin North Bus Pos Seq Mag,Malin North Bus Pos Seq Ang,Malin South Bus Pos Seq Mag,Malin South Bus Pos Seq Ang,Marion North Bus Pos Seq Mag,Marion North Bus Pos Seq Ang,Marion South Bus Pos Seq Mag,Marion South Bus Pos Seq Ang,Monroe North Bus Pos Seq Mag,Monroe North Bus Pos Seq Ang,Monroe South Bus Pos Seq Mag,Monroe South Bus Pos Seq Ang,Ostrander West Bus Pos Seq Mag,Ostrander West Bus Pos Seq Ang,Ostrander East Bus Pos Seq Mag,Ostrander East Bus Pos Seq Ang,Paul North Bus Pos Seq Mag,Paul North Bus Pos Seq Ang,Paul South Bus Pos Seq Mag,Paul South Bus Pos Seq Ang,Pearl West Bus Pos Seq Mag,Pearl West Bus Pos Seq Ang,Pearl East Bus Pos Seq Mag,Pearl East Bus Pos Seq Ang,Rock Creek West Bus Pos Seq Mag,Rock Creek West Pos Seq Ang,Rock Creek Wautoma Line Pos Seq Mag,Rock Creek Wautoma Line Pos Seq Ang,Summer Lake Grizzly Line Pos Seq Mag,Summer Lake Grizzly Line Pos Seq Ang,Summer Lake Hemingway Line Pos Seq Mag,Summer Lake Hemingway Line Pos Seq Ang,Wautoma West Bus Pos Seq Mag,Wautoma West Bus Pos Seq Ang,Wautoma East Bus Pos Seq Mag,Wautoma East Bus Pos Seq Ang
0,0,0,0,0,542.985,171.978,543.444,171.962,542.084,-178.398,541.268,-178.217,544.847,164.55,544.881,164.537,541.577,-152.361,541.385,-152.351,544.888,-161.523,528.703,-161.62,0,0,540.796,-163.878,542.927,-143.762,542.901,-143.765,545.924,176.89,545.355,176.9,543.109,-176.132,542.985,-176.191,535.369,178.776,534.517,178.932,545.116,164.279,545.146,164.285,541.97,175.578,541.651,175.598,542.296,-162.835,543.302,-162.863,534.211,-179.805,534.383,-179.828,0,0,0,0,539.41,177.93,538.759,177.932,541.895,-173.028,542.373,-173.03,543.448,170.113,0,0,541.332,-161.349,541.29,-161.362
0.0166667,0,0,0,0,542.96,171.931,543.419,171.915,542.072,-178.444,541.255,-178.262,544.849,164.498,544.83,164.488,541.57,-152.402,541.358,-152.396,544.915,-161.572,528.704,-161.664,0,0,540.843,-163.927,542.897,-143.805,542.932,-143.807,545.906,176.84,545.337,176.85,543.077,-176.183,543,-176.237,535.378,178.73,534.525,178.886,545.109,164.232,545.138,164.237,541.96,175.532,541.641,175.552,542.306,-162.879,543.312,-162.907,534.21,-179.851,534.382,-179.875,0,0,0,0,539.425,177.884,538.731,177.886,541.886,-173.074,542.364,-173.076,543.445,170.062,0,0,541.358,-161.398,541.316,-161.411
0.0333333,0,0,0,0,542.936,171.885,543.395,171.869,542.059,-178.494,541.242,-178.308,544.798,164.449,544.833,164.436,541.581,-152.449,541.369,-152.443,544.943,-161.621,528.732,-161.715,0,0,540.901,-163.972,542.902,-143.85,542.902,-143.85,545.887,176.794,545.318,176.805,543.092,-176.228,542.968,-176.287,535.345,178.684,534.491,178.839,545.072,164.178,545.101,164.184,541.951,175.486,541.632,175.506,542.344,-162.928,543.35,-162.956,534.209,-179.898,534.381,-179.921,0,0,0,0,539.398,177.838,538.748,177.84,541.877,-173.12,542.392,-173.127,543.435,170.015,0,0,541.357,-161.442,541.315,-161.455
0.05,0,0,0,0,542.96,171.834,543.413,171.823,542.048,-178.54,541.228,-178.359,544.801,164.397,544.782,164.387,541.593,-152.497,541.381,-152.49,544.93,-161.669,528.72,-161.764,0,0,540.907,-164.02,542.873,-143.893,542.882,-143.9,545.871,176.744,545.345,176.755,543.063,-176.274,542.984,-176.333,535.355,178.637,534.499,178.798,545.065,164.131,545.095,164.137,541.942,175.44,541.666,175.461,542.383,-162.977,543.389,-163.005,534.208,-179.949,534.381,-179.968,0,0,0,0,539.415,177.792,538.721,177.794,541.868,-173.166,542.384,-173.173,543.432,169.964,0,0,541.383,-161.491,541.301,-161.503
0.0666667,0,0,0,0,542.936,171.788,543.389,171.776,542.081,-178.586,541.216,-178.405,544.792,164.35,544.785,164.335,541.567,-152.542,541.355,-152.535,544.958,-161.718,528.763,-161.81,0,0,540.925,-164.063,542.879,-143.939,542.853,-143.943,545.896,176.699,545.326,176.709,543.076,-176.325,542.956,-176.379,535.366,178.591,534.508,178.751,545.029,164.078,545.058,164.083,541.937,175.39,541.661,175.41,542.38,-163.025,543.387,-163.052,534.208,-179.995,534.424,179.991,0,0,0,0,539.388,177.746,538.738,177.747,541.903,-173.213,542.375,-173.219,543.422,169.918,0,0,541.369,-161.539,541.287,-161.551
0.0833333,0,0,0,0,542.955,171.742,543.366,171.73,542.069,-178.636,541.247,-178.45,544.796,164.298,544.777,164.288,541.541,-152.587,541.329,-152.58,544.96,-161.761,528.723,-161.853,0,0,540.889,-164.11,542.85,-143.982,542.86,-143.988,545.88,176.648,545.311,176.659,543.091,-176.37,542.972,-176.425,535.376,178.545,534.518,178.705,545.023,164.03,545.052,164.036,541.929,175.344,541.652,175.364,542.349,-163.067,543.356,-163.094,534.165,179.963,534.381,179.94,0,0,0,0,539.406,177.7,538.712,177.701,541.889,-173.263,542.367,-173.265,543.37,169.87,0,0,541.369,-161.582,541.287,-161.594
0.1,0,0,0,0,542.932,171.695,543.392,171.679,542.058,-178.686,541.235,-178.501,544.746,164.249,544.782,164.236,541.516,-152.632,541.342,-152.627,544.948,-161.808,528.725,-161.897,0,0,540.908,-164.154,542.857,-144.028,542.892,-144.03,545.865,176.598,545.295,176.608,543.061,-176.421,542.986,-176.475,535.344,178.498,534.485,178.654,545.029,163.978,545.059,163.984,541.921,175.298,541.648,175.314,542.348,-163.115,543.355,-163.142,534.165,179.916,534.382,179.893,0,0,0,0,539.382,177.649,538.731,177.651,541.882,-173.309,542.355,-173.315,543.369,169.819,0,0,541.356,-161.63,541.274,-161.642
0.116667,0,0,0,0,542.915,171.644,543.375,171.628,542.047,-178.737,541.222,-178.551,544.751,164.197,544.774,164.188,541.529,-152.679,541.317,-152.672,544.95,-161.852,528.728,-161.942,0,0,540.873,-164.2,542.854,-144.067,542.889,-144.07,545.848,176.553,545.278,176.563,543.035,-176.466,542.957,-176.525,535.313,178.452,534.496,178.607,545.024,163.931,545.054,163.936,541.917,175.247,541.597,175.267,542.359,-163.158,543.366,-163.185,534.166,179.865,534.383,179.847,0,0,0,0,539.356,177.603,538.706,177.604,541.832,-173.355,542.348,-173.361,543.368,169.768,0,0,541.356,-161.674,541.261,-161.69
0.133333,0,0,0,0,542.899,171.593,543.353,171.582,542.08,-178.787,541.211,-178.602,544.756,164.145,544.779,164.137,541.504,-152.724,541.292,-152.718,544.952,-161.895,528.731,-161.986,0,0,540.85,-164.242,542.861,-144.113,542.861,-144.113,545.833,176.502,545.307,176.513,543.049,-176.517,542.931,-176.571,535.326,178.401,534.463,178.561,545.031,163.879,545.061,163.885,541.867,175.201,541.59,175.221,542.329,-163.2,543.337,-163.227,534.124,179.819,534.341,179.796,0,0,0,0,539.375,177.557,538.682,177.554,541.863,-173.406,542.341,-173.407,543.36,169.722,0,0,541.302,-161.72,541.262,-161.733
0.15,0,0,0,0,542.877,171.547,543.337,171.531,542.071,-178.833,541.242,-178.652,544.749,164.098,544.773,164.089,541.518,-152.771,541.306,-152.765,544.968,-161.934,528.747,-162.027,0,0,540.816,-164.289,542.834,-144.156,542.844,-144.162,545.819,176.452,545.293,176.463,543.066,-176.562,542.946,-176.621,535.295,178.354,534.474,178.514,545.039,163.827,545.056,163.837,541.907,175.15,541.587,175.171,542.341,-163.243,543.349,-163.271,534.125,179.772,534.343,179.749,0,0,0,0,539.352,177.506,538.658,177.507,541.856,-173.452,542.329,-173.458,543.36,169.671,0,0,541.29,-161.768,541.25,-161.781
