2013,6,26,2,8,0
Time,Allston North Bus Pos Seq Mag,Allston North Bus Pos Seq Ang,Allston South Bus Pos Seq Mag,Allston South Bus Pos Seq Ang,Alvey Dixonville Line Pos Seq Mag,Alvey Dixonville Line Pos Seq Ang,Alvey Marion Line Pos Seq Mag,Alvey Marion Line Pos Seq Ang,Big Eddy West Bus Pos Seq Mag,Big Eddy West Bus Pos Seq Ang,Big Eddy East Bus Pos Seq Mag,Big Eddy East Bus Pos Seq Ang,Captain Jack West Bus Pos Seq Mag,Captain Jack West Bus Pos Seq Ang,Captain Jack East Bus Pos Seq Mag,Captain Jack East Bus Pos Seq Ang,Central Ferry West Bus Pos Seq Mag,Central Ferry West Bus Pos Seq Ang,Central Ferry East Bus Pos Seq Mag,Central Ferry East Bus Pos Seq Ang,Custer North Bus Pos Seq Mag,Custer North Bus Pos Seq Ang,Custer South Bus Pos Seq Mag,Custer South Bus Pos Seq Ang,Echo Lake North Bus Pos Seq Mag,Echo Lake North Bus Pos Seq Ang,Echo Lake South Bus Pos Seq Mag,Echo Lake South Bus Pos Seq Ang,Garrison West Bus Pos Seq Mag,Garrison West Bus Pos Seq Ang,Garrison East Bus Pos Seq Mag,Garrison East Bus Pos Seq Ang,Grizzly North Bus Pos Seq Mag,Grizzly North Bus Pos Seq Ang,Grizzly South Bus Pos Seq Mag,Grizzly South Bus Pos Seq Ang,John Day West Bus Pos Seq Mag,John Day West Bus Pos Seq Ang,John Day East Bus Pos Seq Mag,John Day East Bus Pos Seq Ang,Keeler West Bus Pos Seq Mag,Keeler West Bus Pos Seq Ang,Keeler Allston Line Pos Seq Mag,Keeler Allston Line Pos Seq Ang,Malin North Bus Pos Seq Mag,Malin North Bus Pos Seq Ang,Malin South Bus Pos Seq Mag,Malin South Bus Pos Seq Ang,Marion North Bus Pos Seq Mag,Marion North Bus Pos Seq Ang,Marion South Bus Pos Seq Mag,Marion South Bus Pos Seq Ang,Monroe North Bus Pos Seq Mag,Monroe North Bus Pos Seq Ang,Monroe South Bus Pos Seq Mag,Monroe South Bus Pos Seq Ang,Ostrander West Bus Pos Seq Mag,Ostrander West Bus Pos Seq Ang,Ostrander East Bus Pos Seq Mag,Ostrander East Bus Pos Seq Ang,Paul North Bus Pos Seq Mag,Paul North Bus Pos Seq Ang,Paul South Bus Pos Seq Mag,Paul South Bus Pos Seq Ang,Pearl West Bus Pos Seq Mag,Pearl West Bus Pos Seq Ang,Pearl East Bus Pos Seq Mag,Pearl East Bus Pos Seq Ang,Rock Creek West Bus Pos Seq Mag,Rock Creek West Pos Seq Ang,Rock Creek Wautoma Line Pos Seq Mag,Rock Creek Wautoma Line Pos Seq Ang,Summer Lake Grizzly Line Pos Seq Mag,Summer Lake Grizzly Line Pos Seq Ang,Summer Lake Hemingway Line Pos Seq Mag,Summer Lake Hemingway Line Pos Seq Ang,Wautoma West Bus Pos Seq Mag,Wautoma West Bus Pos Seq Ang,Wautoma East Bus Pos Seq Mag,Wautoma East Bus Pos Seq Ang
0,539.372,53.5073,540.211,53.4874,549.686,41.8772,550.124,41.8605,543.068,49.8125,542.2,49.9923,544.752,34.0059,544.68,33.9945,545.321,66.0463,545.11,66.0514,549.745,57.4703,533.247,57.3772,540.99,62.8197,540.874,62.8236,549.126,84.4931,549.169,84.4935,537.632,43.9427,544.761,43.8148,543.382,51.2888,543.166,51.2589,535.497,49.4731,534.665,49.6348,544.002,33.8558,543.942,33.871,547.187,45.1571,546.851,45.1796,541.533,61.5804,542.548,61.5552,535.596,49.4821,535.774,49.474,542.987,56.8016,543.189,56.7774,537.771,48.594,537.16,48.5981,542.838,53.8906,543.331,53.889,544.43,38.6228,0,0,542.706,64.3059,542.666,64.2937
0.0166667,539.343,53.442,540.182,53.4222,549.658,41.8131,550.125,41.7998,543.083,49.754,542.18,49.9308,544.737,33.9465,544.665,33.9352,545.295,65.9853,545.066,65.9945,549.732,57.4052,533.236,57.3101,540.997,62.7581,540.86,62.7662,549.133,84.4387,549.181,84.4346,537.612,43.8807,544.742,43.7536,543.349,51.2275,543.134,51.1975,535.478,49.4042,534.644,49.5658,543.988,33.7963,543.94,33.8052,547.186,45.093,546.85,45.1155,541.514,61.5168,542.53,61.4917,535.581,49.4198,535.755,49.4052,542.958,56.7396,543.16,56.7153,537.73,48.5224,537.119,48.5264,542.814,53.8322,543.333,53.8269,544.438,38.558,0,0,542.698,64.2446,542.658,64.2324
0.0333333,539.374,53.3757,540.188,53.3597,549.66,41.7524,550.128,41.7392,543.066,49.6926,542.222,49.8687,544.735,33.8808,544.663,33.8695,545.309,65.9262,545.08,65.9354,549.721,57.3402,533.238,57.2494,540.965,62.6945,540.867,62.7046,549.141,84.3843,549.145,84.3798,537.594,43.8186,544.756,43.6892,543.378,51.1655,543.163,51.1355,535.521,49.3349,534.685,49.4963,543.951,33.7331,543.928,33.7457,547.185,45.0289,546.849,45.0513,541.534,61.4554,542.512,61.4282,535.591,49.3475,535.77,49.3394,542.93,56.6775,543.156,56.6495,537.782,48.4534,537.171,48.4574,542.815,53.77,543.334,53.7648,544.439,38.4997,0,0,542.69,64.1833,542.65,64.1711
0.05,539.415,53.3159,540.229,53.3,549.692,41.695,550.13,41.6785,543.082,49.6341,542.237,49.8101,544.721,33.8214,544.649,33.8101,545.323,65.8671,545.094,65.8762,549.71,57.2751,533.229,57.1823,540.973,62.633,540.837,62.641,549.11,84.3249,549.157,84.3209,537.636,43.7567,544.769,43.6312,543.407,51.1035,543.165,51.077,535.54,49.2756,534.731,49.4334,543.999,33.6749,543.951,33.6837,547.216,44.9936,546.91,44.9936,541.516,61.3917,542.532,61.3669,535.672,49.2877,535.818,49.2767,542.998,56.6166,543.165,56.5899,537.872,48.394,537.228,48.3948,542.853,53.7105,543.346,53.7091,544.441,38.4413,0,0,542.683,64.1219,542.643,64.1097
0.0666667,539.44,53.2662,540.28,53.2467,549.724,41.6377,550.163,41.6212,543.132,49.5786,542.257,49.758,544.768,33.7633,544.66,33.7545,545.321,65.8121,545.109,65.8171,549.736,57.2124,533.219,57.1152,541,62.5776,540.883,62.5816,549.119,84.2705,549.166,84.2665,537.647,43.7045,544.812,43.5766,543.416,51.0514,543.201,51.0213,535.598,49.2259,534.792,49.3902,544.012,33.6192,543.964,33.6281,547.247,44.9391,546.91,44.9615,541.537,61.3303,542.516,61.3034,535.701,49.2415,535.847,49.2305,542.984,56.5609,543.211,56.5329,537.879,48.3515,537.267,48.3553,542.865,53.6548,543.384,53.6497,544.443,38.383,0,0,542.715,64.0626,542.656,64.0545
0.0833333,539.43,53.2138,540.244,53.1981,549.724,41.5833,550.163,41.5669,543.154,49.5265,542.305,49.7024,544.744,33.7103,544.672,33.6989,545.336,65.753,545.107,65.7621,549.763,57.1498,533.224,57.0545,540.989,62.5202,540.872,62.5241,549.128,84.2161,549.132,84.2116,537.66,43.6458,544.795,43.5218,543.453,50.9958,543.211,50.9693,535.567,49.1801,534.76,49.3444,544.001,33.5598,543.977,33.5724,547.217,44.8846,546.911,44.9102,541.538,61.2729,542.517,61.2461,535.698,49.1922,535.844,49.1813,543.006,56.5076,543.209,56.4835,537.854,48.3059,537.242,48.3097,542.878,53.599,543.371,53.5977,544.473,38.3282,0,0,542.71,64.0115,542.67,63.9993
0.1,539.421,53.1614,540.227,53.1393,549.696,41.5256,550.135,41.5092,543.111,49.4686,542.26,49.6444,544.732,33.6509,544.66,33.6395,545.335,65.698,545.106,65.7071,549.754,57.0847,533.229,56.9939,540.979,62.4627,540.862,62.4666,549.137,84.1617,549.142,84.1572,537.642,43.5903,544.809,43.4638,543.429,50.9409,543.215,50.9108,535.531,49.1279,534.718,49.2855,543.99,33.5003,543.966,33.513,547.188,44.8301,546.881,44.8492,541.539,61.2155,542.518,61.1888,535.662,49.14,535.808,49.129,542.992,56.4519,543.196,56.4277,537.822,48.2473,537.211,48.251,542.891,53.5432,543.384,53.5419,544.45,38.2663,0,0,542.743,63.9522,542.685,63.944
0.116667,539.43,53.0988,540.244,53.0833,549.669,41.4679,550.136,41.4549,543.096,49.4071,542.277,49.5858,544.757,33.589,544.649,33.5802,545.294,65.6411,545.122,65.648,549.759,57.0259,533.271,56.9358,540.989,62.4012,540.852,62.4092,549.104,84.1069,549.152,84.1028,537.656,43.5315,544.763,43.4057,543.4,50.8796,543.158,50.853,535.52,49.0655,534.71,49.2296,543.981,33.4409,543.92,33.456,547.19,44.7724,546.883,44.7915,541.524,61.1519,542.541,61.1275,535.651,49.0777,535.797,49.0667,543.003,56.3923,543.207,56.3682,537.791,48.1887,537.18,48.1923,542.87,53.4847,543.363,53.4835,544.42,38.2107,0,0,542.719,63.8949,542.68,63.8827
0.133333,539.413,53.04,540.228,53.0245,549.674,41.4071,550.142,41.3942,543.115,49.3487,542.233,49.5277,544.77,33.5334,544.662,33.5246,545.312,65.582,545.082,65.5911,549.764,56.9671,533.277,56.8751,540.98,62.3438,540.901,62.3498,549.115,84.0525,549.158,84.0529,537.609,43.4726,544.779,43.3478,543.404,50.8211,543.163,50.7945,535.51,49.0032,534.698,49.1672,543.995,33.3852,543.947,33.3941,547.192,44.7147,546.885,44.7337,541.527,61.0945,542.544,61.0702,535.64,49.0154,535.787,49.0044,542.991,56.3365,543.195,56.3125,537.79,48.1266,537.178,48.1302,542.849,53.4263,543.369,53.4214,544.425,38.1524,0,0,542.715,63.8336,542.675,63.8214
0.15,539.363,52.9783,540.203,52.9593,549.648,41.3494,550.148,41.3336,543.074,49.2907,542.218,49.4662,544.76,33.4741,544.652,33.4652,545.312,65.5271,545.1,65.5319,549.806,56.9107,533.283,56.8144,540.971,62.2863,540.854,62.2902,549.121,84.0026,549.126,83.9981,537.624,43.4139,544.765,43.2865,543.41,50.7626,543.169,50.736,535.467,48.9379,534.654,49.1017,543.986,33.3258,543.938,33.3346,547.196,44.6505,546.858,44.6728,541.53,61.0371,542.547,61.0129,535.598,48.95,535.777,48.9421,542.967,56.2744,543.171,56.2504,537.757,48.0615,537.145,48.065,542.829,53.3678,543.349,53.363,544.43,38.094,0,0,542.692,63.7764,542.653,63.7641
